,country,city,state,relocation,profile0,interest_frontend,interest_fullstack,interest_ux,interest_business,interest_operations,JavaScript,HTML,CSS,NoSQL,Non-relational Databases,React / Redux,Angular,Server-side JavaScript,Agile Methodology,Trend Analysis,Java,Python,Sketch,Figma,Animation Software,Machine Learning,Alteryx,Tableu,R,profile1,profile2,profile3,profile4,profile5,education,field_of_study,prior_employment,work_exp,work_exp_relevant,last_job,verbal_skills,work_auth,work_auth_sponsorship,level,scheduling,relocate_dallas,relocate_new_york,schedule_full,schedule_part,level_intern,level_short,level_long
10,US,Glassboro,New Jersey,"New York City, NY","Financial Analyst, Financial Data Analyst",0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,"In my Financial Planning & Analysis course, I completed a series of mock financial-based job assignments ranging from portfolio-investing, budget modeling, the unit cost per product analysis, and buy/leasing options.","Microsoft Excel, R Studio",,,,4,I am currently pursuing a Master's of Science in Data Science,True,2,0,"Analyzed and reported variances in intelligence data based on specified metrics through a support messaging enrollment feature

Created a comparative analysis of patients’ suitability to use certain medications by examining patient data from the top three pharmaceutical firms who would have a 90%+ success rate of using migraine medications

Built a propriety Excel model that shows trends and summary statistics on migraine patient symptoms to enhance decision making",2,True,False,"Paid internships, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,False,True
11,US,Minneapolis,Minnesota,"New York City, NY",Cyber Security Analyist,4,5,3,0,0,3,3,2,2,2,2,2,2,2,0,3,3,0,0,0,0,0,0,0,"As an in-class project, I built D&D100. It was a full-stack web app developed with Angular, Node.js and MongoDB that allowed users to add to and use compilations of content.","LaTeX, Visual Studio Code, Ubuntu Linux","What got me passionate about Computer Science was the time I spent at the Shodor Educational Foundation before I was an Intern there. Even for our seemingly basic projects, there was a lot of coding things just for the sake of doing it. This was where I got to make my first ever personal coding project, which was a very simple chatroom.","I think the most valuable thing I bring to any company I work at is my ability to pick up new things quickly and to work with them on my own. I've bounced around a lot of personal projects, and have touched on a great variety of technologies. This has left me with a lot of points of reference when learning new skills, and being used to overcoming that feeling of being lost which precedes learning.","My ideal workplace would allow a great amount of individual initiative for getting work done, with hands-off leadership, but also one that provided a relatively small social circle. There would be, within that immediate social circle, mutual cooperation and little direct competition.",4,Computer Science,True,2,2,Engineered a store-front app for a client using Xamarin Forms. Developed an extension for XAML-driven animations to help future development. Upgraded a legacy ASP and ASP.NET service for a client. Wrong a COVID check-in webapp for the office.,2,True,False,"Permanent / Long-term work, Contract work / Short-term work",Full-time (at least 40 hours per week),0.0,1.0,True,False,False,True,True
12,US,Dallas,Texas,"Dallas, TX",,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I have taken many business classes as part of my degree that gives me great interest in the business field.,Microsoft Word.,,,,4,Business Administration,True,3,0,I insure that the restaurant is run in an effecient manner and that all guests needs are taken care of.,2,True,False,"Permanent / Long-term work, Paid internships",Full-time (at least 40 hours per week),1.0,0.0,True,False,True,False,True
13,US,Washington,District of Columbia,"New York City, NY",Consultant positions and Sales possible,5,5,4,0,4,2,2,2,2,2,2,0,2,2,2,0,2,2,2,0,0,0,0,0,"The client project I included is a webpage for a volunteer organization and I thoroughly enjoyed working on a project with other engineers as well as an individual contributor. The technologies I used were React, Redux, Python and Django. I am interested in working primarily on Front end development but I love understanding databases and architectural structure of back end development.","Miro, AdobeXD, Adobe Photoshop","I have always had an inquisitive mind, especially when it comes to technology and software. I love mobile apps, websites and any software that features new and exciting processes to make our lives simpler and more efficient. Whether I experience an academic subject or work duty involving software, I try to understand the intricacies of its user flow and functionality. I am passionate about using my empathetic, creative and analytical skills to create engaging and innovative solutions.","I am adaptable, flexible and can handle pressure, sort of like play-doh. I am at my best when I feel fully engaged, trust the people around me, communicate effectively, and understand the ""what, how and why"" of the task at hand. I bring enthusiasm, time-management and organization skills to ensure projects are managed and completed efficiently and effectively.",I look for values surrounding community. I am a person of color and I value a workplace where my appearance and actions are as equal as everyone else in the room. I thrive in a diverse and engaging environment. Another community-driven value that is of equal importance is that the company strives to improve the greater good. A positive social impact is the result of individuals who care and want to improve the lives of everyday people. I enjoy working with people who actively care for others.,4,Sociology,True,3,0,"Increased daily food & beverage sales by an average of 20%
Displayed poised communication and high-quality service to maximize guest experience
Maintained professional relationships with staff, vendors and VIP guests",2,True,False,"Unpaid internships, Paid internships, Contract work / Short-term work, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,True,True
14,US,New York City,New York,"New York City, NY",,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,C,"Through my experience in the Army, I learned that I really like working in teams to break down and solve complex projects. My absolute passion is to utilize technology to help make the workplace more efficient and easier for the employees and myself. Setting up and installing missile defense computer networks in particular made me realize how much i love problem solving, and has led me to where I am today, working to apply these skills to a financial institute to make life better.","I'm a natural leader that takes charge and listens to my peers to improve on a project. My peers can always count on me to give them the answer or give them a resource to get the answer. With my previous experience, I believe I can contribute good engineering principles, and a really positive nothing-too-small mindset.","The ideal workplace is one that emphasizes the individual's role in the team through communication. To me team communication is everything, and giving every member the opportunity to speak up means an opportunity for the product to be improved, and for the team member to feel valued.",4,Computer Science,True,3,2,"Part-time student employee representing the face of the University for first point of contact related to IT issues. Currently remotely support students, faculty, and staff with solving issues ranging from basic network support, account configurations, knowledge of school systems, printing problems, and a slew of other issues. Have successfully helped users solve their problem in cases where they had previously spent 1-2 hours with another IT technician.",2,True,False,Paid internships,"Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",0.0,1.0,True,True,True,False,False
15,US,Dallas,Texas,"Dallas, TX",,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,3,0,2,3,,,,,,4,Business Analytics,True,2,0,#NAME?,1,False,True,"Paid internships, Permanent / Long-term work",Full-time (at least 40 hours per week),1.0,0.0,True,False,True,False,True
16,US,San Francisco,California,"New York City, NY",Product management,5,0,5,5,5,2,2,2,0,0,2,0,0,2,0,2,3,0,3,0,0,0,0,0,"In many projects in the past and present, I've worked as a product manager connecting the design and engineering  efforts to fit the user's needs (including doing user research brainstorming)",,,,,4,Human-computer interaction,True,2,0,"Developed GUI of a tool that supported the CPU Design team. Added user tracking (telemetry) to improve intuitive interaction using Node.js, TypeScript, React, Redux, OpenCensus, Fluent UI and Azure services.",2,True,False,"Paid internships, Contract work / Short-term work, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,True,True
17,US,"Philadelphia, PA",,"New York City, NY",data analysis,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,4,Public Health,True,1,1,Clinical research studies in orthopaedics,2,True,False,"Paid internships, Contract work / Short-term work, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,True,True
18,US,Los Angeles,California,"New York City, NY",,5,5,5,0,0,2,2,2,2,2,2,0,2,1,0,2,0,0,2,0,0,0,0,0,"The project ZTrak, the sleep tracker, demonstrates my interest in front end development the most as I was able to use a Javascript library called CanvasJS to ""draw"" pixels onto the webpage to illustrate and animate a clock and graphs.",I am very experienced in Microsoft Excel. I have used Figma to wireframe my web page designs. I am familiar with image manipulation softwares such as Gimp and Inkscape as I made use of these to create elements for my web pages.,"I have always had a strong passion in creating. At a young age, I was bringing my creations to life with Lego bricks. As an adult, I was creating large Excel files as tools for my personal and professional life. I enjoy the satisfying feeling of accomplishment after putting in the hard work to bring my imagination to reality. This is why the field of software development is interesting to me. The tools available and their capabilities show me that there is almost no limit to what I can create.",I am a team player and a great communicator. I often can bring people together to promote engagement and keep the work flow going. Empathy is a strong communication skill I possess. I can understand the position and feelings of others and am able to provide better communication and customer experience. I am also a very detail person. I enjoy working out the kinks and flaws to perfect my work and can definitely provide a great user experience.,"My ideal workplace would be a company that takes pride in its quality products. I would love to be a part of a team that provides innovative ideas that better people's lives. I would want a work environment that is positive, energetic, and where everyone works as a team.",4,Health Science,True,3,0,"I determine applicants eligibility for government assistant programs such as Medicaid and Food Stamps. The work includes reviewing applications and documents, interview applicants, process application using proprietary software, and update government database and records.",2,True,False,"Paid internships, Permanent / Long-term work",Full-time (at least 40 hours per week),0.0,1.0,True,False,True,False,True
19,US,Salt Lake City,Utah,"New York City, NY","Network Security, Application Security, DevOps,  Security Analyst",4,5,3,0,0,2,2,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,"I worked for a medical software startup called Multifunctional Imaging (https://multifunctionalimaging.com/) where I
verified, validated and documented software to meet internal and FDA
standards. I careful reviewed and documented of thousands of lines of code, both at the line by line, and at component levels. I also helped developed GUI concepts and implement features.  I large part due to my efforts ( I was the only software verification engineer in the company) I help their software product achieve full FDA 510(K) clearance which allowed them to market in the United States.","C++, Matlab, NMap, Linux , Software Regulatory and Internal Compliance, AWS, Government Agency Liaison, Code Review",,,,4,Biomedical Engineering with a minor in Chemistry + Computer Science cross training,True,3,2,"Visiting address to gather census data in person.  This was essentially high stress customer service with diverse clients under time pressure.  I had less than 60 seconds with sometimes hostile respondents to convince them I was legitimate, sincere and competent. I was commended by my supervisor for my high success rate in gathering census information.",1,True,False,"Paid internships, Contract work / Short-term work, Permanent / Long-term work, Unpaid internships","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",0.0,1.0,True,True,True,True,True
20,US,DAYTON,OHIO,"New York City, NY",,5,5,5,3,3,3,3,3,0,0,3,1,3,1,0,1,2,0,0,0,0,0,0,0,I WORKED ON A PROJECT CALLED VIVI.  VIVI IS  FRONT END AND BACK END APPLICATION THAT ALLOWS USERS TO VIRTUALLY ASSESS THEIR COVID RISK LEVEL IN ORDER FOR BUSINESSES TO TAKE PRECAUTIONS WHILE THE CLIENT IS IN A VIRTUAL WAITING ROOM.,ADOBE PHOTOSHOP,,"I am a resilient problem solver who wants to be a part of a team that develops solutions.  With my diverse background, I am able to bring unique strengths to the table: my keen ability to provide effective solutions, my empathy and in-depth value of communicating, as well as my extreme accountability and whole hearted dedication which is apparent in what I do.  With my combined strengths and enthusiasm, I look forward to growing, learning, and adding value to the right company.",,4,"Chemistry, Math, Biology",True,3,0,"Organically generated over 200% of quota quarterly through a self-established internal CRM system to track KPI
Successfully created an internal sales process, on-boarding process, and various marketing campaigns to drive team over 150% increased productivity and 500% increase in sales approaches.",2,True,False,"Unpaid internships, Paid internships, Permanent / Long-term work, Contract work / Short-term work","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",0.0,1.0,True,True,True,True,True
21,US,New York City,New York,"New York City, NY",,5,5,5,0,0,3,3,3,0,0,0,2,2,0,0,3,2,0,0,0,0,0,0,1,,Adobe Photoshop,"When I was in high school my friend encouraged me to try an introductory programming course offered by my school. In that course I learned from a teacher that was truly passionate about programming. He taught me that through programming you can create anything you want to, and that what you create can make the world a better place, be it by bringing people together, or by simply making someone's day a little better. That is what inspired me to pursue a career in computer programming.","I am an extremely quick learner, and excel at memorizing information. When programming I am extremely detail-oriented, with a focus on making it so that my code and documentation are easily understandable to anyone who happens upon it. One of the most valuable things I think I would bring to any company I work at is my positive way of thinking. I believe that nothing is impossible as long as you stay positive and are willing to accept and try new ideas, no matter how outlandish they may seem.","The most important value of an ideal workplace for me would be that it focuses on making the world a better place, even if it's just by a little bit. The ideal workplace for me is also one which encourages cooperation over competition between its employees, because I believe that competition between employees can restrict the sharing of ideas, knowledge, and possible solutions to problems.",4,Computer Science,True,1,0,"Assist customers with purchases, wire transfers, and photo services.  Supervise and assist customers with self-checkout.  Cashier.  Stock and label inventory",2,True,False,"Unpaid internships, Paid internships, Contract work / Short-term work, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,True,True
22,US,Milford,Connecticut,"New York City, NY",,5,0,0,0,0,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"My experience as the designated front-end developer/designer for both versions of my group project AllChat from my coding boot camp showed me that this area is where my strength lies, because it combines both my technical and creative skills into a single product.","Microsoft Word, Powerpoint, and Excel; Adobe Photoshop, Premiere Pro, InDesign, and Illustrator","For as long as I can remember, I have been a creative individual. I draw passion from creative outlets such as writing novels/scripts, playing guitar, and of course, visual design for digital media and web/mobile applications. Having navigated through multiple design interfaces throughout my life, whether it be through video games, websites, or any form of interactive media, I have always taken note of what design choices I liked, taking both aesthetics and user accessibility into consideration.","I am a flexible, quick-learner who ensures that deadlines are met on time and all requirements are fulfilled for whatever task assigned. Although I may seem initially reserved while I am getting to know people, I have good interpersonal communication skills and a great sense of humor, while also being respectful to others.","Although my field can be geared towards individual, self-directed work, I thrive in work environments that promote social interactions/support from other co-workers as opposed to an isolated cubicle-type setting. I also value leadership that is willing to adapt and improvise in the face of rapidly changing circumstances, because technology is always in a constant state of evolution, and being able to react to such nuances.",4,Communications,True,0,0,"- Recognized by management for exceptional organization and communication skills. Took over the coordination and execution of a cross departmental, 140 person photo shoot in order to help improve brand imaging.
- Streamlined the User Interface for the client side Canto tool in order to better classify brand assets and save time searching for mislabeled files. 
- Set up/deconstructed video shoots to ensure projects were completed on-time.",2,True,False,"Paid internships, Contract work / Short-term work, Permanent / Long-term work","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",0.0,1.0,True,True,True,True,True
23,US,New York City,New York,"New York City, NY",,5,5,5,4,0,1,2,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,,"C++, C, some C#","I am passionate about computer science because I like knowing that what I do has a visible, tangible effect in the world. Being able to see that what I do affects and helps others gives me satisfaction.","I am a fast reader, and I can look at problems from a unique angle. A solution that may be obvious to me may not be obvious to others, and vice versa.","I can thrive in a workplace where the lines of communication are open, and where I can ask for help if I need it. Feeling safe is important to me, so if I feel safe I will be able to ask for help if I need it, and that will help me work more effectively.",4,Computer Science,True,3,0,"Stocked shelves with inventory, managed self-checkout, managed associate manned checkout, organized stock to ensure accuracy. Awarded two merit awards since I began employment, once in September, and one in November.",2,True,False,"Unpaid internships, Paid internships, Contract work / Short-term work, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,True,True
